Año,Med. anual,Moneda
1960,6.5,PTA
1961,6.5,PTA
1962,6.5,PTA
1963,6.5,PTA
1964,6.5,PTA
1965,6.5,PTA
1966,6.5,PTA
1967,6.5,PTA
1968,6.5,PTA
1969,6.5,PTA
1970,6.5,PTA
1971,6.9,PTA
1972,7,PTA
1973,7.2,PTA
1974,10,PTA
1975,12.6,PTA
1976,14,PTA
1977,15.1,PTA
1978,16.7,PTA
1979,19,PTA
1980,28.7,PTA
1981,40.5,PTA
1982,43.8,PTA
1983,52.5,PTA
1984,58,PTA
1985,62,PTA
1986,60,PTA
1987,58,PTA
1988,56,PTA
1989,57,PTA
1990,61.2,PTA
1991,69.3,PTA
1992,73.6,PTA
1993,81.3,PTA
1994,81.4,PTA
1995,82.1,PTA
1996,90.1,PTA
1997,93.8,PTA
1998,88.9,PTA
1999,95,PTA
2000,116.7,PTA
2001,116.3,PTA
2002,69.5,c€
2003,70.4,c€
2004,75.9,c€
2005,90,c€
2006,95.7,c€
2007,97,c€
2008,114.1,c€
2009,91.2,c€
2010,107.5,c€
2011,126.7,c€
